Name,position,All_star_selections,In_Hall_of_fame,height,weight,born
Jamaal Wilkes,F,3,1,198,86,1953
Maurice Stokes,F,3,1,201,105,1933
George McGinnis,F,3,1,203,106,1950
Joe Fulks,F,2,1,196,86,1921
Dennis Rodman,F,2,1,201,95,1961
Bill Bradley,F,1,1,196,92,1943
Don Barksdale,F,1,1,198,90,1923
Kobe Bryant,G,18,1,198,96,1978
Jerry West,G,14,1,188,79,1938
Michael Jordan,G,14,1,198,88,1963
Bob Cousy,G,13,1,185,79,1928
Isiah Thomas,G,12,1,185,81,1961
Oscar Robertson,G,12,1,196,92,1938
Magic Johnson,G,12,1,201,98,1956
Allen Iverson,G,11,1,183,74,1975
John Stockton,G,10,1,185,77,1962
Hal Greer,G,10,1,188,79,1936
Jason Kidd,G,10,1,193,92,1973
Clyde Drexler,G,10,1,201,95,1962
Ray Allen,G,10,1,203,99,1965
Lenny Wilkens,G,9,1,185,81,1937
Gary Payton,G,9,1,193,81,1968
George Gervin,G,9,1,201,81,1952
Bill Sharman,G,8,1,185,79,1926
Steve Nash,G,8,1,190,88,1974
Jo Jo White,G,7,1,191,89,1946
Slater Martin,G,7,1,178,77,1925
Dick McGuire,G,7,1,183,81,1926
Dave Bing,G,7,1,190,81,1943
Walt Frazier,G,7,1,193,90,1945
Tiny Archibald,G,6,1,185,68,1948
Joe Dumars,G,6,1,190,86,1963
Richie Guerin,G,6,1,193,88,1932
Mitch Richmond,G,6,1,196,97,1965
Bobby Wanzer,G,5,1,183,77,1921
Gail Goodrich,G,5,1,185,77,1943
Andy Phillip,G,5,1,188,88,1922
Sidney Moncrief,G,5,1,190,81,1957
Dennis Johnson,G,5,1,193,83,1954
Sam Jones,G,5,1,193,89,1933
Paul Westphal,G,5,1,193,88,1950
Carl Braun,G,5,1,196,81,1927
Pete Maravich,G,5,1,196,89,1947
Tom Gola,G,5,1,198,92,1933
Reggie Miller,G,5,1,201,83,1965
Guy Rodgers,G,4,1,183,83,1935
Maurice Cheeks,G,4,1,185,81,1956
Bob Davies,G,4,1,185,79,1920
Earl Monroe,G,4,1,190,83,1944
David Thompson,G,4,1,193,88,1954
Charlie Scott,G,3,1,196,79,1948
Calvin Murphy,G,1,1,175,74,1948
Dwight Howard,C,8,2,211,120,1985
Al Horford,C,5,2,208,111,1986
DeMarcus Cousins,C,4,2,211,122,1990
Joel Embiid,C,4,2,213,113,1994
Nikola Jokic,C,3,2,208,113,1995
Marc Gasol,C,3,2,216,115,1985
Andre Drummond,C,2,2,211,126,1993
Karl-Anthony Towns,C,2,2,213,110,1995
Nikola Vucevic,C,2,2,213,117,1990
Rudy Gobert,C,2,2,216,111,1992
Bam Adebayo,C,1,2,206,116,1997
DeAndre Jordan,C,1,2,211,120,1988
Brook Lopez,C,1,2,213,124,1988
LeBron James,F,17,2,203,113,1984
Kevin Durant,F,11,2,206,108,1988
Carmelo Anthony,F,10,2,203,108,1984
Anthony Davis,F,8,2,206,97,1968
Paul George,F,7,2,206,99,1990
LaMarcus Aldridge,F,7,2,211,117,1985
Blake Griffin,F,6,2,208,113,1989
Jimmy Butler,F,5,2,201,99,1989
Kawhi Leonard,F,5,2,201,104,1991
Kevin Love,F,5,2,208,113,1988
Giannis Antetokounmpo,F,5,2,211,100,1994
Paul Millsap,F,4,2,203,111,1985
Draymond Green,F,3,2,201,104,1990
Khris Middleton,F,2,2,203,106,1991
Jayson Tatum,F,2,2,203,95,1998
Domantas Sabonis,F,2,2,211,108,1996
Jaylen Brown,F,1,2,193,97,1992
Zion Williamson,F,1,2,198,129,2000
Gordon Hayward,F,1,2,203,102,1990
Brandon Ingram,F,1,2,206,86,1997
Julius Randle,F,1,2,206,113,1994
Pascal Siakam,F,1,2,206,104,1994
Kristaps Porzingis,F,1,2,221,108,1995
Chris Paul,G,11,2,183,79,1985
Russell Westbrook,G,9,2,190,90,1988
James Harden,G,9,2,196,99,1989
Stephen Curry,G,7,2,190,86,1988
Kyrie Irving,G,7,2,190,87,1992
Kyle Lowry,G,6,2,183,92,1986
Damian Lillard,G,6,2,190,88,1990
John Wall,G,5,2,193,88,1990
Klay Thompson,G,5,2,201,97,1990
Rajon Rondo,G,4,2,185,84,1986
DeMar DeRozan,G,4,2,201,100,1989
Kemba Walker,G,4,2,203,95,1964
Derrick Rose,G,3,2,190,86,1988
Bradley Beal,G,3,2,196,93,1993
Ben Simmons,G,3,2,211,109,1996
Donovan Mitchell,G,2,2,185,98,1996
Isaiah Thomas,G,2,2,185,81,1961
Victor Oladipo,G,2,2,193,95,1992
Devin Booker,G,2,2,198,93,1996
Luka Doncic,G,2,2,201,104,1999
Mike Conley,G,1,2,185,79,1987
Trae Young,G,1,2,185,74,1998
D'Angelo Russell,G,1,2,188,86,1994
Jeff Teague,G,1,2,188,84,1988
Goran Dragic,G,1,2,190,86,1986
Jrue Holiday,G,1,2,193,92,1990
Zach LaVine,G,1,2,196,85,1995
Andre Iguodala,G,1,2,198,97,1984
