,player_id,player,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,all_star,roy,smoy,dpoy,mip,mvp,All-League,All-Defense,All-Rookie,Finals MVP,Champion,HOFer
2183,2184,Ken Bannister,586,1202,0.0,4.0,586,1198,329,669,276.0,617.0,893.0,111,109.0,80.0,347.0,669,1501,0,0,0,0,0,0,0,0,0,0,0,0
2184,2185,Kenny Fields,622,1329,6.0,28.0,616,1301,284,382,239.0,373.0,612.0,249,129.0,49.0,234.0,517,1534,0,0,0,0,0,0,0,0,0,0,0,0
2185,2186,Kenton Edelin,4,13,0.0,0.0,4,13,3,8,8.0,18.0,26.0,10,5.0,4.0,3.0,39,11,0,0,0,0,0,0,0,0,0,0,0,0
2186,2187,Kevin Willis,8197,16989,45.0,220.0,8152,16769,3484,4884,4744.0,9059.0,13803.0,1517,1107.0,879.0,2930.0,4856,19923,1,0,0,0,0,0,1,0,0,0,1,0
2187,2188,Lancaster Gordon,472,1208,23.0,85.0,449,1123,158,206,116.0,143.0,259.0,294,128.0,31.0,237.0,266,1125,0,0,0,0,0,0,0,0,0,0,0,0
2188,2189,Leon Wood,918,2303,266.0,771.0,652,1532,572,725,116.0,347.0,463.0,1223,187.0,5.0,379.0,409,2674,0,0,0,0,0,0,0,0,0,0,0,0
2189,2190,Melvin Turpin,1297,2513,1.0,9.0,1296,2504,476,613,575.0,1080.0,1655.0,183,155.0,348.0,431.0,853,3071,0,0,0,0,0,0,0,0,0,0,0,0
2190,2191,Michael Cage,3317,6445,0.0,25.0,3317,6420,1644,2476,3227.0,5419.0,8646.0,1057,1050.0,725.0,1161.0,2581,8278,0,0,0,0,0,0,0,0,0,0,0,0
2191,2192,Michael Holton,873,1980,29.0,121.0,844,1859,424,535,142.0,350.0,492.0,1032,233.0,30.0,436.0,624,2199,0,0,0,0,0,0,0,0,0,0,0,0
2192,2193,Michael Jordan,12192,24537,581.0,1778.0,11611,22759,7327,8772,1668.0,5004.0,6672.0,5633,2514.0,893.0,2924.0,2783,32292,14,1,0,1,0,5,53,45,5,6,6,1
2193,2194,Michael Young,94,202,8.0,27.0,86,175,27,38,37.0,51.0,88.0,24,25.0,3.0,15.0,47,223,0,0,0,0,0,0,0,0,0,0,0,0
2194,2195,Othell Wilson,216,476,6.0,34.0,210,442,97,130,63.0,149.0,212.0,424,119.0,16.0,172.0,189,535,0,0,0,0,0,0,0,0,0,0,0,0
2195,2196,Otis Thorpe,7551,13898,3.0,76.0,7548,13822,4184,6133,3799.0,7666.0,11465.0,3064,929.0,559.0,3058.0,4608,19289,1,0,0,0,0,0,0,0,0,0,2,0
2196,2197,Ozell Jones,106,182,0.0,1.0,106,181,33,83,65.0,175.0,240.0,56,32.0,58.0,64.0,144,245,0,0,0,0,0,0,0,0,0,0,0,0
2197,2198,Peter Thibeaux,194,428,2.0,7.0,192,421,72,115,57.0,87.0,144.0,45,34.0,32.0,73.0,167,462,0,0,0,0,0,0,0,0,0,0,0,0
2198,2199,Ralph Jackson,1,3,0.0,0.0,1,3,0,0,1.0,0.0,1.0,4,2.0,0.0,1.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2199,2200,Rick Carlisle,178,422,11.0,48.0,167,374,55,71,44.0,97.0,141.0,201,42.0,9.0,120.0,187,422,0,0,0,0,0,0,0,0,0,0,1,0
2200,2201,Ron Anderson,3281,6953,114.0,401.0,3167,6552,1183,1475,1002.0,1637.0,2639.0,1113,534.0,99.0,822.0,1160,7859,0,0,0,0,0,0,0,0,0,0,0,0
2201,2202,Ron Cavenall,30,89,0.0,0.0,30,89,24,44,53.0,115.0,168.0,19,12.0,44.0,47.0,125,84,0,0,0,0,0,0,0,0,0,0,0,0
2202,2203,Sam Bowie,2127,4702,32.0,106.0,2095,4596,1278,1708,1192.0,2653.0,3845.0,1075,263.0,909.0,978.0,1553,5564,0,0,0,0,0,0,0,0,5,0,0,0
2203,2204,Sam Perkins,5879,12783,873.0,2419.0,5006,10364,3729,4597,2487.0,5703.0,8190.0,2131,1165.0,1015.0,1694.0,3402,16360,0,0,0,0,0,0,0,0,5,0,0,0
2204,2205,Steve Burtt,218,512,2.0,14.0,216,498,146,210,28.0,64.0,92.0,123,49.0,13.0,110.0,195,584,0,0,0,0,0,0,0,0,0,0,0,0
2205,2206,Steve Colter,1667,3729,83.0,290.0,1584,3439,810,1041,378.0,954.0,1332.0,1953,581.0,102.0,692.0,1128,4227,0,0,0,0,0,0,0,0,0,0,0,0
2206,2207,Stuart Gray,380,857,0.0,12.0,380,845,262,394,349.0,816.0,1165.0,167,79.0,159.0,267.0,735,1022,0,0,0,0,0,0,0,0,0,0,0,0
2207,2208,Terence Stansbury,468,1055,24.0,107.0,444,948,240,308,76.0,201.0,277.0,390,119.0,20.0,248.0,483,1200,0,0,0,0,0,0,0,0,0,0,0,0
2208,2209,Tim McCormick,1895,3541,1.0,18.0,1894,3523,1080,1545,923.0,1910.0,2833.0,609,171.0,210.0,730.0,1490,4871,0,0,0,0,0,0,0,0,0,0,0,0
2209,2210,Tom Scheffler,21,51,0.0,0.0,21,51,10,20,18.0,58.0,76.0,11,8.0,11.0,15.0,48,52,0,0,0,0,0,0,0,0,0,0,0,0
2210,2211,Tom Sewell,9,36,0.0,2.0,9,34,2,4,2.0,2.0,4.0,6,3.0,1.0,7.0,13,20,0,0,0,0,0,0,0,0,0,0,0,0
2211,2212,Tom Sluby,30,58,0.0,2.0,30,56,13,21,5.0,7.0,12.0,16,3.0,0.0,11.0,18,73,0,0,0,0,0,0,0,0,0,0,0,0
2212,2213,Tony Brown,1042,2416,62.0,230.0,980,2186,499,686,430.0,507.0,937.0,653,283.0,49.0,460.0,922,2645,0,0,0,0,0,0,0,0,0,0,0,0
2213,2214,Tony Campbell,3407,7493,74.0,292.0,3333,7201,1661,2104,988.0,1315.0,2303.0,1101,632.0,172.0,1167.0,1670,8549,0,0,0,0,0,0,0,0,0,0,1,0
2214,2215,Vern Fleming,3964,7954,38.0,210.0,3926,7744,2159,2826,979.0,2033.0,3012.0,4293,926.0,105.0,1795.0,2003,10125,0,0,0,0,0,0,0,0,0,0,0,0
2215,2216,Wayne Sappleton,41,87,0.0,0.0,41,87,14,34,28.0,47.0,75.0,7,7.0,4.0,21.0,50,96,0,0,0,0,0,0,0,0,0,0,0,0
2216,2217,Willie White,126,292,10.0,32.0,116,260,40,54,32.0,48.0,80.0,82,23.0,4.0,55.0,48,302,0,0,0,0,0,0,0,0,0,0,0,0
2217,2218,A.C. Green,4778,9686,125.0,509.0,4653,9177,3247,4447,3576.0,6553.0,10129.0,1469,1103.0,562.0,1508.0,2581,12928,1,0,0,0,0,0,0,3,0,0,3,0
2218,2219,Alex Stivrins,39,82,0.0,4.0,39,78,7,12,17.0,24.0,41.0,7,4.0,4.0,17.0,24,85,0,0,0,0,0,0,0,0,0,0,0,0
2219,2220,Alfredrick Hughes,152,372,3.0,17.0,149,355,49,84,49.0,64.0,113.0,61,26.0,5.0,63.0,79,356,0,0,0,0,0,0,0,0,0,0,0,0
2220,2221,Ben McDonald,463,989,10.0,44.0,453,945,125,172,215.0,353.0,568.0,236,77.0,17.0,149.0,487,1061,0,0,0,0,0,0,0,0,0,0,0,0
2221,2222,Benoit Benjamin,4401,8863,1.0,24.0,4400,8839,2465,3430,1808.0,5726.0,7534.0,1275,652.0,1859.0,2304.0,2834,11268,0,0,0,0,0,0,0,0,0,0,0,0
2222,2223,Bill Martin,168,374,0.0,9.0,168,365,61,75,53.0,83.0,136.0,58,30.0,9.0,74.0,129,397,0,0,0,0,0,0,0,0,0,0,0,0
2223,2224,Bill Wennington,1379,3006,5.0,36.0,1374,2970,538,684,688.0,1460.0,2148.0,440,226.0,248.0,440.0,1680,3301,0,0,0,0,0,0,0,0,0,0,3,0
2224,2225,Blair Rasmussen,2248,4767,9.0,35.0,2239,4732,614,801,913.0,2093.0,3006.0,467,210.0,484.0,460.0,1623,5119,0,0,0,0,0,0,0,0,0,0,0,0
2225,2226,Bob Thornton,385,850,2.0,11.0,383,839,236,417,313.0,511.0,824.0,114,85.0,38.0,245.0,681,1008,0,0,0,0,0,0,0,0,0,0,0,0
2226,2227,Brian Martin,6,14,0.0,0.0,6,14,0,4,2.0,6.0,8.0,0,0.0,2.0,4.0,14,12,0,0,0,0,0,0,0,0,0,0,0,0
2227,2228,Carey Scurry,375,784,11.0,40.0,364,744,226,338,254.0,354.0,608.0,242,231.0,166.0,238.0,457,987,0,0,0,0,0,0,0,0,0,0,0,0
2228,2229,Carl Henry,31,67,4.0,10.0,27,57,12,17,8.0,11.0,19.0,4,5.0,0.0,9.0,11,78,0,0,0,0,0,0,0,0,0,0,0,0
